,DEPTH,DT,GR,NPHI,PEF,RHOB,WELL
69935,2600.2,102.74,74.248,0.308,6.105,2.315,15/9-F-11 A
69936,2600.3,100.943,68.542,0.283,5.613,2.291,15/9-F-11 A
69937,2600.4,98.473,60.314,0.272,5.281,2.269,15/9-F-11 A
69938,2600.5,97.171,51.895,0.266,5.151,2.253,15/9-F-11 A
69939,2600.6,95.441,45.764,0.273,5.205,2.244,15/9-F-11 A
69940,2600.7,93.204,40.914,0.282,5.38,2.243,15/9-F-11 A
69941,2600.8,92.143,40.059,0.29,5.602,2.249,15/9-F-11 A
69942,2600.9,92.043,41.143,0.303,5.829,2.258,15/9-F-11 A
69943,2601.0,93.184,42.513,0.322,6.066,2.268,15/9-F-11 A
69944,2601.1,95.901,45.945,0.344,6.345,2.279,15/9-F-11 A
69945,2601.2,98.137,50.095,0.36,6.66,2.29,15/9-F-11 A
69946,2601.3,99.229,55.343,0.381,6.934,2.304,15/9-F-11 A
69947,2601.4,100.373,60.451,0.399,7.081,2.316,15/9-F-11 A
69948,2601.5,101.197,65.587,0.419,7.066,2.325,15/9-F-11 A
69949,2601.6,101.324,71.338,0.427,6.915,2.328,15/9-F-11 A
69950,2601.7,101.454,71.621,0.424,6.704,2.328,15/9-F-11 A
69951,2601.8,101.539,72.673,0.41,6.503,2.326,15/9-F-11 A
69952,2601.9,101.504,71.562,0.388,6.365,2.321,15/9-F-11 A
69953,2602.0,101.369,65.709,0.363,6.295,2.314,15/9-F-11 A
69954,2602.1,101.12,58.633,0.348,6.256,2.306,15/9-F-11 A
69955,2602.2,100.597,54.392,0.338,6.181,2.299,15/9-F-11 A
69956,2602.3,100.069,54.614,0.33,6.028,2.292,15/9-F-11 A
69957,2602.4,99.584,52.713,0.317,5.804,2.28,15/9-F-11 A
69958,2602.5,99.313,49.94,0.3,5.562,2.262,15/9-F-11 A
69959,2602.6,99.886,44.819,0.286,5.355,2.24,15/9-F-11 A
69960,2602.7,100.986,40.6,0.282,5.219,2.219,15/9-F-11 A
69961,2602.8,102.613,37.156,0.292,5.195,2.203,15/9-F-11 A
69962,2602.9,104.509,34.995,0.319,5.31,2.19,15/9-F-11 A
69963,2603.0,106.588,33.09,0.353,5.547,2.177,15/9-F-11 A
69964,2603.1,108.729,33.391,0.381,5.832,2.165,15/9-F-11 A
69965,2603.2,109.842,34.605,0.389,6.067,2.159,15/9-F-11 A
69966,2603.3,110.045,37.914,0.375,6.195,2.161,15/9-F-11 A
69967,2603.4,107.595,40.99,0.345,6.219,2.175,15/9-F-11 A
69968,2603.5,104.575,43.599,0.313,6.149,2.199,15/9-F-11 A
69969,2603.6,101.006,45.476,0.282,5.984,2.233,15/9-F-11 A
69970,2603.7,95.494,46.263,0.261,5.745,2.267,15/9-F-11 A
69971,2603.8,91.164,46.561,0.252,5.509,2.29,15/9-F-11 A
69972,2603.9,88.252,43.912,0.252,5.328,2.296,15/9-F-11 A
69973,2604.0,84.879,41.161,0.255,5.205,2.287,15/9-F-11 A
69974,2604.1,82.841,38.512,0.258,5.106,2.267,15/9-F-11 A
69975,2604.2,82.742,35.021,0.26,5.028,2.245,15/9-F-11 A
69976,2604.3,82.951,31.604,0.26,4.979,2.226,15/9-F-11 A
69977,2604.4,83.446,30.029,0.261,4.977,2.213,15/9-F-11 A
